question,answer,document
Какие требования устанавливаются к составу и содержанию документации по удалению затонувшего имущества?," Требования к составу и содержанию документации по удалению затонувшего имущества устанавливаются федеральным органом исполнительной власти в области транспорта, по согласованию с федеральным органом исполнительной власти, осуществляющим функции по выработке государственной политики и нормативно-правовому регулированию в сфере изучения, использования, воспроизводства и охраны природных ресурсов. Среди требований - описание способа и средств удаления затонувшего имущества, последовательность действий, а также требования к безопасности их проведения.",['Кодекс торгового мореплавания Российской Федерации']
Какие основные показатели оценки офертов на строительство производственных объектов указаны в ГОСТ МДС 80-3.2000?," В данном контексте указаны следующие основные показатели для оценки оферт на проектирование и строительство производственных объектов:

1. Стоимость работ (цена предмета подрядных торгов)
2. Технический уровень средств производства, используемых оферентом
3. Среднегодовая прибыль после ввода объекта в эксплуатацию (заказчик может потребовать предоставление альтернативных предложений для расчета дополнительной прибыли, ускорения срока ввода объекта в эксплутацию и др.)
4. Экологические требования (оценка воздействия объекта на окружающую среду)
5. Сроки ввода объекта в эксплуатацию
6. Соответствие выбранных технологических, архитектурных, объемно-планировочных и конструктивных решений принятым условиям тендера.","['Data1_10_10869_index', 'Data1_10_10865_index']"
Какая сумма привлеченных денежных средств считается особо крупным размером?," В соответствии с примечанием к Статье 200.3, делания, предусмотренные этой статьей, признаются особо крупными размерами, если сумма привлеченных денежных средств (сделки с денежными средствами) превышает пять миллионов рублей.",['Уголовный кодекс Российской Федерации']
Что влечет наложение административного штрафа на должностных лиц за нарушение порядка предоставления обеспечения исполнения обязательств по оплате энергоресурсов?," Нарушение потребителем электрической энергии, газа или тепловой энергии, сопряженное с неисполнением (ненадлежащим исполнением) обязательств по их оплате в соответствии с установленными договорами о предоставлении указанных энергетических ресурсов сроками платежей, влечет наложение административного штрафа на должностных лиц в размере от сорока тысяч до ста тысяч рублей или дисквалификацию на срок от двух до трех лет.",['Административный кодекс Российской Федерации']
Какие требования предъявляются к прочности закрепленных грунтов при однорастворной двухкомпонентной силикатизации на основе раствора силиката натрия и ортофосфорной кислоты согласно ГОСТ (к СНиП 3.02.01-83)?," В соответствии с ГОСТом 13079-81, силикат натрия доставляется к месту работы либо в виде силикат-глыбы, либо в виде раствора плотностью 1,4 - 1,5 г/см<sup>3</sup>. Расположенная в таблице 7 требования к раствору силиката натрия при одноразворочной двухкомпонентной силикатизации на основе ортофосфорной кислоты и карбамидных смол включает следующие характеристики:

- вязкость раствора: 4 - 35 cP (при 20 °C);
- pH раствора: не ниже 7.2;
- содержание свободного формальдегида: не определяется, но в зависимости от марки карбамидной смолы может быть не более 2 %.

Прочность закрепленных грунтов при одноразворочной двухкомпонентной силикатизации на основе раствора силиката натрия и ортофосфорной кислоты определяется в соответствии с ГОСТом 54916-87.",['Data1_11_11295_index']
"Какова цель технического обслуживания и текущего ремонта зданий и сооружений, согласно статье 55.24, раздел 8?"," Целью технического обслуживания и текущего ремонта зданий и сооружений в соответствии с указанной статьей является поддержание надлежащего технического состояния таких объектов. Под надлежащим техническим состоянием понимаются поддержание параметров устойчивости, надежности зданий, сооружений, а также исправность строительных конструкций, систем инженерно-технического обеспечения, сетей инженерно-технического обеспечения и их элементов в соответствии с требованиями технических регламентов, проектной документации.","['Data1_10_10861_index', 'Градостроительный кодекс Российской Федерации', 'Data1_1_1879_index']"
Что происходит с потерями бюджета в связи с получением средств ниже расчетного объема дотации?," В соответствии с настоящим Кодексом, в случае установления недостачи между расходами и доходами бюджета субъекта Российской Федерации или местного бюджета дефицит этих бюджетов финансируется за счет источников, установленных настоящим Кодексом.

Если полученные средства ниже расчетного объема дотации (например, в случае межбюджетных трансфертов), дефицит бюджета субъекта Российской Федерации или местного бюджета не финансируется.

В этом случае может возникнуть дефицит, который должен соответствовать ограничениям, установленным статьей 92.1 настоящего Кодекса, и должен быть покрыт из источников финансирования дефицита бюджета субъекта Российской Федерации или местного бюджета.

Для примера: если расчетный объем дотации составляет 1 млн руб., а полученные средства составили только 900 тыс. руб., дефицит в размере 100 тыс. руб. должен быть покрыт из источников финансирования дефицита бюджета субъекта Российской Федерации или местного бюджета, в соответствии с ограничениями, установленными статьей 92.1 настоящего Кодекса.

В случае дефицита бюджета субъекта Российской Федерации или местного бюджета по итогам отчетного года, он должен соответствовать ограничениям, установленным статьей 92.1 настоящего Кодекса и быть финансирован из источников финансирования дефицита бюджета субъекта Российской Федерации или местного бюджета, в соответствии с ограничениями, установленными настоящим Кодексом.",['Бюджетный кодекс Российской Федерации']
"Что означает ""особыми условиями"" в контексте сдачи в аренду земельных участков и других обособленных природных объектов?"," ""Особыми условиями"" в контексте сдачи в аренду земельных участков и других обособленных природных объектов означает ограничения или запреты, которые могут быть установлены для использования этих территорий в целях защиты жизни и здоровья граждан, безопасной эксплуатации объектов транспорта, связи, энергетики, объектов обороны страны и безопасности государства, сохранения объектов культурного наследия, охраны окружающей среды, а также для обеспечения обороны страны и безопасности государства. Эти условия могут распространяться на все, что находится над и под поверхностью земельных участков и может запрещать размещение и использование различных объектов недвижимого имущества.","['Градостроительный кодекс Российской Федерации', 'Гражданский кодекс Российской Федерации', 'Земельный кодекс Российской Федерации']"
Какие меры наказания за нарушение соглашения о недопущении конкуренции указаны в ГОСТ МДС 80-2.2000?," В ГОСТ МДС 80-2.2000 нет упоминания о наказаниях за нарушение соглашения о недопущении конкуренции. Это документ предназначен для регулирования организационно-технических вопросов в проектной деятельности и не содержит нормативно-правовые положения. Однако, нарушение такого соглашения могло быть признано нарушением конкурентных правил и может подлежать наказанию в соответствии с антимонопольным законодательством России или гражданским процессуальным законом, например, либо принудительными работами на срок до пяти лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет либо лишением свободы на срок до трёх лет, если это деяние не связано с использованием служебного положения, и без судебной компенсации, или с штрафом в размере от 300 до 500 тысяч рублей либо принудительными работами на срок до двух лет, если это деяние связано с использованием служебного положения.","['Уголовный кодекс Российской Федерации', 'Административный кодекс Российской Федерации', 'Data1_10_10872_index']"
"Какие органы имеют право рассматривать дела об административных правонарушениях, предусмотренных статьей 15.12.1 КоАП РФ?"," Для рассмотрения дел об административных правонарушениях, предусмотренных части 1 статьи 15.12.1 Кодекса административно-процессуального права Российской Федерации (в отношении товаров, подлежащих обязательной маркировке средствами идентификации), имеют право следующие органы:

1. Федеральные органы исполнительной власти, осуществляющие функции по контролю (надзору) в сфере обращения товаров, подлежащих маркировке средствами идентификации, с использованием государственной информационной системы мониторинга за оборотом товаров, подлежащих обязательной маркировке средствами идентификации.
2. Руководители федеральных органов исполнительной власти, осуществляющие функции по контролю (надзору) в сфере обращения товаров, подлежащих маркировке средствами идентификации, их заместители;
3. Руководители структурных подразделений федеральных органов исполнительной власти, осуществляющих функции по контролю (надзору) в сфере обращения товаров, подлежащих маркировке средствами идентификации, их заместители;
4. Руководители территориальных органов федеральных органов исполнительной власти, осуществляющих функции по контролю (надзору) в сфере обращения товаров, подлежащих маркировке средствами идентификации, их заместители.",['Административный кодекс Российской Федерации']
